,M,version,Epochs,val_error,train_time
0,8,3,0,0.6904000043869019,35389.155172109604
1,8,3,1,0.5464999973773956,35389.155172109604
2,8,3,2,0.4559999704360962,35389.155172109604
3,8,3,3,0.5252000093460083,35389.155172109604
4,8,3,4,0.4502999782562256,35389.155172109604
5,8,3,5,0.4659000039100647,35389.155172109604
6,8,3,6,0.39569997787475586,35389.155172109604
7,8,3,7,0.3715999722480774,35389.155172109604
8,8,3,8,0.3537999987602234,35389.155172109604
9,8,3,9,0.3513000011444092,35389.155172109604
10,8,3,10,0.27799999713897705,35389.155172109604
11,8,3,11,0.2605000138282776,35389.155172109604
12,8,3,12,0.38020002841949463,35389.155172109604
13,8,3,13,0.28140002489089966,35389.155172109604
14,8,3,14,0.2660999894142151,35389.155172109604
15,8,3,15,0.2671999931335449,35389.155172109604
16,8,3,16,0.3009999990463257,35389.155172109604
17,8,3,17,0.2936999797821045,35389.155172109604
18,8,3,18,0.2757999897003174,35389.155172109604
19,8,3,19,0.32749998569488525,35389.155172109604
20,8,3,20,0.23269999027252197,35389.155172109604
21,8,3,21,0.292900025844574,35389.155172109604
22,8,3,22,0.2314000129699707,35389.155172109604
23,8,3,23,0.23199999332427979,35389.155172109604
24,8,3,24,0.2524999976158142,35389.155172109604
25,8,3,25,0.25370001792907715,35389.155172109604
26,8,3,26,0.35100001096725464,35389.155172109604
27,8,3,27,0.22420001029968262,35389.155172109604
28,8,3,28,0.1905999779701233,35389.155172109604
29,8,3,29,0.28439998626708984,35389.155172109604
30,8,3,30,0.2746000289916992,35389.155172109604
31,8,3,31,0.21609997749328613,35389.155172109604
32,8,3,32,0.2386000156402588,35389.155172109604
33,8,3,33,0.1948000192642212,35389.155172109604
34,8,3,34,0.21890002489089966,35389.155172109604
35,8,3,35,0.1937999725341797,35389.155172109604
36,8,3,36,0.2246999740600586,35389.155172109604
37,8,3,37,0.21549999713897705,35389.155172109604
38,8,3,38,0.24210000038146973,35389.155172109604
39,8,3,39,0.2222999930381775,35389.155172109604
40,8,3,40,0.23159998655319214,35389.155172109604
41,8,3,41,0.21890002489089966,35389.155172109604
42,8,3,42,0.23629999160766602,35389.155172109604
43,8,3,43,0.1876000165939331,35389.155172109604
44,8,3,44,0.21219998598098755,35389.155172109604
45,8,3,45,0.20569998025894165,35389.155172109604
46,8,3,46,0.24210000038146973,35389.155172109604
47,8,3,47,0.17989999055862427,35389.155172109604
48,8,3,48,0.25300002098083496,35389.155172109604
49,8,3,49,0.22119998931884766,35389.155172109604
50,8,3,50,0.18599998950958252,35389.155172109604
51,8,3,51,0.12919998168945312,35389.155172109604
52,8,3,52,0.13099998235702515,35389.155172109604
53,8,3,53,0.1298999786376953,35389.155172109604
54,8,3,54,0.12790000438690186,35389.155172109604
55,8,3,55,0.12620002031326294,35389.155172109604
56,8,3,56,0.12379997968673706,35389.155172109604
57,8,3,57,0.12250000238418579,35389.155172109604
58,8,3,58,0.118399977684021,35389.155172109604
59,8,3,59,0.12589997053146362,35389.155172109604
60,8,3,60,0.1193000078201294,35389.155172109604
61,8,3,61,0.12440001964569092,35389.155172109604
62,8,3,62,0.12339997291564941,35389.155172109604
63,8,3,63,0.12059998512268066,35389.155172109604
64,8,3,64,0.11680001020431519,35389.155172109604
65,8,3,65,0.1194000244140625,35389.155172109604
66,8,3,66,0.11650002002716064,35389.155172109604
67,8,3,67,0.11619997024536133,35389.155172109604
68,8,3,68,0.11619997024536133,35389.155172109604
69,8,3,69,0.11650002002716064,35389.155172109604
70,8,3,70,0.116100013256073,35389.155172109604
71,8,3,71,0.11659997701644897,35389.155172109604
72,8,3,72,0.11589998006820679,35389.155172109604
73,8,3,73,0.116100013256073,35389.155172109604
74,8,3,74,0.11599999666213989,35389.155172109604
75,8,3,75,0.11659997701644897,35389.155172109604
76,8,3,76,0.116100013256073,35389.155172109604
77,8,3,77,0.11589998006820679,35389.155172109604
78,8,3,78,0.11619997024536133,35389.155172109604
79,8,3,79,0.11559998989105225,35389.155172109604
80,8,3,80,0.116100013256073,35389.155172109604
81,8,3,81,0.116100013256073,35389.155172109604
82,8,3,82,0.11629998683929443,35389.155172109604
83,8,3,83,0.11570000648498535,35389.155172109604
84,8,3,84,0.11629998683929443,35389.155172109604
85,8,3,85,0.11540001630783081,35389.155172109604
86,8,3,86,0.11599999666213989,35389.155172109604
87,8,3,87,0.11619997024536133,35389.155172109604
88,8,3,88,0.11559998989105225,35389.155172109604
89,8,3,89,0.11599999666213989,35389.155172109604
90,8,3,90,0.116100013256073,35389.155172109604
91,8,3,91,0.11570000648498535,35389.155172109604
92,8,3,92,0.1152999997138977,35389.155172109604
93,8,3,93,0.116100013256073,35389.155172109604
94,8,3,94,0.11580002307891846,35389.155172109604
95,8,3,95,0.11570000648498535,35389.155172109604
96,8,3,96,0.11460000276565552,35389.155172109604
97,8,3,97,0.116100013256073,35389.155172109604
98,8,3,98,0.1151999831199646,35389.155172109604
99,8,3,99,0.11489999294281006,35389.155172109604
